sub,role,trial,unfairness,choice,choice_RT
33,self,11,50,0,4.4
33,self,12,60,0,4.982
33,self,13,80,1,6.069
33,self,14,80,1,9.669
33,self,15,95,1,5.398
33,self,16,75,0,5.521
33,self,17,65,0,3.715
33,self,18,85,1,7.241
33,self,19,50,0,5.269
33,self,20,90,1,6.33
34,self,1,90,0,5.01
34,self,2,85,0,1.525
34,self,3,80,0,3.045
34,self,4,55,0,2.571
34,self,5,55,0,2.351
34,self,6,75,0,1.621
34,self,7,50,0,2.091
34,self,8,50,0,1.891
34,self,9,95,1,4.425
34,self,10,90,0,2.403
34,self,11,70,0,1.914
34,self,12,70,0,2.974
34,self,13,75,0,3.298
34,self,14,65,0,2.236
34,self,15,85,0,1.727
34,self,16,80,0,2.767
34,self,17,65,0,2.599
34,self,18,60,0,1.813
34,self,19,95,1,2.491
34,self,20,60,0,8.601
36,self,1,95,1,3.542
36,self,2,55,0,2.806
36,self,3,95,1,2.404
36,self,4,55,0,2.028
36,self,5,75,0,2.084
36,self,6,70,0,2.384
36,self,7,50,0,3.026
36,self,8,85,0,2.94
36,self,9,60,0,2.238
36,self,10,65,0,2.2
36,self,11,65,0,2.395
36,self,12,90,1,2.425
36,self,13,70,0,2.282
36,self,14,75,0,2.648
36,self,15,60,0,2.338
36,self,16,80,0,2.09
36,self,17,50,0,2.423
36,self,18,80,0,2.232
36,self,19,85,0,2.667
36,self,20,90,1,3.032
37,self,1,60,0,5.031
37,self,2,55,0,3.464
37,self,3,60,0,2.409
37,self,4,75,0,281.235
37,self,5,65,0,2.65
37,self,6,70,0,2.954
37,self,7,80,1,3.525
37,self,8,70,0,3.143
37,self,9,65,0,3.4
37,self,10,50,0,2.449
37,self,11,85,1,3.053
37,self,12,75,0,3.039
37,self,13,90,1,2.767
37,self,14,90,1,2.709
37,self,15,85,1,2.763
37,self,16,95,1,2.903
37,self,17,50,0,3.02
37,self,18,80,1,2.49
37,self,19,55,0,3.955
37,self,20,95,1,2.647
38,self,1,90,1,3.146
38,self,2,80,1,2.399
38,self,3,50,0,3.461
38,self,4,65,0,4.32
38,self,5,85,1,3.238
38,self,6,50,0,2.15
38,self,7,60,0,1.853
38,self,8,60,0,1.643
38,self,9,70,0,1.431
38,self,10,95,1,2.163
38,self,11,70,0,1.648
38,self,12,55,0,1.641
38,self,13,95,1,2.37
38,self,14,55,0,2.448
38,self,15,75,1,2.02
38,self,16,90,1,1.873
38,self,17,80,1,2.261
38,self,18,65,0,2.161
38,self,19,75,1,2.103
38,self,20,85,1,2.899
39,self,1,70,0,5.029
39,self,2,95,1,3.102
39,self,3,85,0,5.12
39,self,4,90,0,4.824
39,self,5,95,0,3.511
39,self,6,75,0,3.532
39,self,7,65,0,4.145
39,self,8,65,0,3.013
39,self,9,85,0,2.963
39,self,10,70,0,3.539
39,self,11,60,0,3.338
39,self,12,80,0,2.925
39,self,13,90,0,2.406
39,self,14,55,0,2.741
39,self,15,75,0,3.381
39,self,16,50,0,2.884
39,self,17,55,0,2.933
39,self,18,50,0,2.816
39,self,19,80,0,3.198
39,self,20,60,0,2.886
40,self,1,90,0,4.892
40,self,2,75,0,4.652
40,self,3,75,0,3.34
40,self,4,65,0,3.163
40,self,5,85,0,3.053
40,self,6,95,1,6.716
40,self,7,85,0,2.61
40,self,8,50,0,3.634
40,self,9,60,0,2.797
40,self,10,95,1,7.716
40,self,11,70,0,2.593
40,self,12,80,0,2.478
40,self,13,50,0,3.193
40,self,14,65,0,2.352
40,self,15,55,0,2.6
40,self,16,55,0,2.976
40,self,17,90,0,3.504
40,self,18,80,0,2.168
40,self,19,70,0,3.081
40,self,20,60,0,3.467
41,self,1,95,1,4.748
41,self,2,70,0,2.488
41,self,3,90,0,16.26
41,self,4,60,0,4.255
41,self,5,55,0,2.595
41,self,6,65,0,2.416
41,self,7,50,0,3.342
41,self,8,70,0,1.772
41,self,9,60,0,2.279
41,self,10,80,0,1.865
41,self,11,50,0,1.977
41,self,12,65,0,2.407
41,self,13,80,0,1.574
41,self,14,95,0,1.966
41,self,15,85,0,2.174
41,self,16,85,0,8.774
41,self,17,75,0,1.916
41,self,18,55,0,1.827
41,self,19,90,0,1.753
41,self,20,75,0,1.532
42,self,1,70,0,2.776
42,self,2,60,0,2.165
42,self,3,95,1,2.061
42,self,4,80,0,3.739
42,self,5,65,0,2.702
42,self,6,75,0,2.575
42,self,7,70,0,5.423
42,self,8,55,0,1.847
42,self,9,85,0,2.26
42,self,10,60,0,2.071
42,self,11,95,1,2.922
42,self,12,75,0,2.022
42,self,13,55,0,2.232
42,self,14,90,1,2.508
42,self,15,65,0,2.732
42,self,16,50,0,2.06
42,self,17,90,1,2.332
42,self,18,80,0,2.299
42,self,19,85,1,1.728
42,self,20,50,0,1.799
43,self,1,60,0,4.989
43,self,2,80,0,4.148
43,self,3,75,0,3.704
43,self,4,70,0,4.342
43,self,5,60,0,3.376
43,self,6,85,0,3.297
43,self,7,75,0,11.074
43,self,8,50,0,2.475
43,self,9,95,0,4.958
43,self,10,65,0,4.378
43,self,11,70,0,11.855
43,self,12,55,0,3.569
43,self,13,90,0,2.978
43,self,14,50,0,5.026
43,self,15,55,0,5.823
43,self,16,85,0,3.13
43,self,17,65,0,3.141
43,self,18,95,0,2.922
43,self,19,80,0,5.072
43,self,20,90,0,2.874
44,self,1,65,0,1.828
44,self,2,85,0,1.879
44,self,3,50,0,1.955
44,self,4,55,0,1.705
44,self,5,95,0,1.756
44,self,6,80,0,1.497
44,self,7,95,0,2.465
44,self,8,85,0,1.772
44,self,9,70,0,1.838
44,self,10,90,0,2.351
44,self,11,50,0,2.491
44,self,12,60,0,1.497
44,self,13,70,0,2.179
44,self,14,60,0,2.259
44,self,15,65,0,1.704
44,self,16,75,0,1.51
44,self,17,90,0,1.832
44,self,18,80,0,1.44
44,self,19,75,0,1.552
44,self,20,55,0,1.554
45,self,1,80,0,2.752
45,self,2,85,0,1.839
45,self,3,55,0,2.265
45,self,4,90,0,2.773
45,self,5,70,0,2.284
45,self,6,85,0,2.027
45,self,7,65,0,2.231
45,self,8,60,0,2.753
45,self,9,80,0,2.189
45,self,10,50,0,2.079
45,self,11,95,0,1.918
45,self,12,95,0,2.151
45,self,13,75,0,3.055
45,self,14,65,0,1.845
45,self,15,70,0,4.234
45,self,16,50,0,2.574
45,self,17,55,0,2.045
45,self,18,90,0,2.339
45,self,19,60,0,2.736
45,self,20,75,0,2.181
46,self,1,70,0,6.081
46,self,2,80,0,5.233
46,self,3,60,0,7.923
46,self,4,75,0,15.705
46,self,5,60,0,9.275
46,self,6,70,0,6.512
46,self,7,85,0,10.101
46,self,8,95,0,5.172
46,self,9,55,0,15.096
46,self,10,50,0,4.471
46,self,11,65,0,7.72
46,self,12,95,1,6.691
46,self,13,65,0,10.299
46,self,14,55,0,15.518
46,self,15,80,0,55.925
46,self,16,75,0,8.39
46,self,17,90,1,5.489
46,self,18,50,0,13.199
46,self,19,90,1,6.752
46,self,20,85,0,15.122
47,self,1,70,0,3.505
47,self,2,70,0,2.098
47,self,3,50,0,2.98
47,self,4,85,0,3.457
47,self,5,60,0,2.292
47,self,6,65,0,37.465
47,self,7,80,0,4.311
47,self,8,80,0,43.858
47,self,9,60,0,2.19
47,self,10,65,0,4.845
47,self,11,55,0,4.132
47,self,12,95,1,3.558
47,self,13,90,0,2.58
47,self,14,90,0,3.88
47,self,15,95,0,2.423
47,self,16,55,0,6.077
47,self,17,75,0,6.133
47,self,18,85,0,6.302
47,self,19,75,0,2.221
47,self,20,50,0,13.208
48,self,1,90,0,6.82
48,self,2,85,0,2.483
48,self,3,75,0,2.438
48,self,4,60,0,2.446
48,self,5,55,0,2.226
48,self,6,50,0,2.367
48,self,7,65,0,2.464
48,self,8,55,0,2.084
48,self,9,75,0,2.005
