,sub,trial,inv,mult,ret
605,8,46,5,4,6
606,8,47,10,6,19
607,8,48,7,4,10
608,8,49,5,4,7
609,8,50,2,4,0
610,8,51,5,6,8
611,8,52,2,4,0
612,8,53,5,4,7
613,8,54,8,2,4
614,8,55,2,4,0
615,8,56,7,2,3
616,8,57,2,2,0
617,8,58,8,4,13
618,8,59,5,4,6
619,8,60,6,2,2
620,8,61,3,2,0
621,8,62,3,4,2
622,8,63,10,4,18
623,8,64,5,4,7
624,8,65,5,6,8
625,8,66,3,4,2
626,8,67,10,4,17
627,8,68,5,4,7
628,8,69,7,6,12
629,8,70,1,4,0
630,8,71,6,4,8
631,8,72,0,4,0
632,8,73,5,6,8
633,8,74,6,4,7
634,8,75,4,4,2
635,8,76,4,6,5
636,8,77,10,2,10
637,8,78,2,6,0
638,8,79,10,2,10
639,8,80,9,2,8
640,9,1,4,4,11
641,9,2,0,4,0
642,9,3,2,4,0
643,9,4,6,4,8
644,9,5,10,4,20
645,9,6,5,4,8
646,9,7,6,2,10
647,9,8,10,6,34
648,9,9,4,6,6
649,9,10,2,4,0
650,9,11,8,4,15
651,9,12,6,2,8
652,9,13,3,2,4
653,9,14,6,6,12
654,9,15,5,4,7
655,9,16,3,2,1
656,9,17,6,4,10
657,9,18,2,6,4
658,9,19,5,4,7
659,9,20,7,6,25
660,9,21,0,4,0
661,9,22,5,4,7
662,9,23,5,4,7
663,9,24,10,6,31
664,9,25,2,2,1
665,9,26,2,4,2
666,9,27,6,2,8
667,9,28,1,4,0
668,9,29,7,4,10
669,9,30,8,4,12
670,9,31,9,2,9
671,9,32,6,4,10
672,9,33,3,6,2
673,9,34,5,4,7
674,9,35,4,6,7
675,9,36,6,6,12
676,9,37,5,2,5
677,9,38,9,4,18
678,9,39,10,6,25
679,9,40,0,6,0
680,9,41,3,4,2
681,9,42,2,2,1
682,9,43,6,4,10
683,9,44,5,4,7
684,9,45,5,2,4
685,9,46,10,4,22
686,9,47,4,2,3
687,9,48,10,4,22
688,9,49,9,6,21
689,9,50,7,4,12
690,9,51,3,4,2
691,9,52,4,4,5
692,9,53,4,6,5
693,9,54,1,6,0
694,9,55,4,4,5
695,9,56,5,6,11
696,9,57,5,4,7
697,9,58,3,6,2
698,9,59,8,6,24
699,9,60,4,2,4
700,9,61,8,2,9
701,9,62,2,4,1
702,9,63,9,4,18
703,9,64,10,2,11
704,9,65,10,4,22
705,9,66,4,4,5
706,9,67,1,2,0
707,9,68,5,6,10
708,9,69,3,4,2
709,9,70,3,4,2
710,9,71,5,2,6
711,9,72,0,2,0
712,9,73,10,2,11
713,9,74,5,2,5
714,9,75,1,4,0
715,9,76,7,2,8
716,9,77,5,6,9
717,9,78,9,4,19
718,9,79,8,4,15
719,9,80,5,6,9
720,10,1,0,2,0
721,10,2,4,4,4
722,10,3,1,2,0
723,10,4,2,4,0
724,10,5,4,4,4
725,10,6,5,4,5
726,10,7,9,4,9
727,10,8,10,6,10
728,10,9,6,6,6
729,10,10,1,6,0
730,10,11,10,6,20
731,10,12,5,4,5
732,10,13,6,4,6
733,10,14,10,2,9
734,10,15,4,2,2
735,10,16,1,4,0
736,10,17,2,2,0
737,10,18,5,2,1
738,10,19,8,4,8
739,10,20,10,4,10
740,10,21,2,4,0
741,10,22,4,4,4
742,10,23,10,4,10
743,10,24,0,6,0
744,10,25,5,6,10
745,10,26,4,4,4
746,10,27,2,4,0
747,10,28,9,2,6
748,10,29,6,2,2
749,10,30,5,4,5
750,10,31,4,6,8
751,10,32,5,4,5
752,10,33,5,4,5
753,10,34,5,4,5
754,10,35,8,2,4
755,10,36,4,6,8
756,10,37,0,4,0
757,10,38,7,4,7
758,10,39,5,6,10
759,10,40,5,2,0
760,10,41,2,6,0
761,10,42,10,4,10
762,10,43,3,6,3
763,10,44,5,2,0
764,10,45,10,4,10
765,10,46,6,2,2
766,10,47,8,6,16
767,10,48,8,4,8
768,10,49,7,4,7
769,10,50,4,2,0
770,10,51,6,2,2
771,10,52,6,4,6
772,10,53,3,6,4
773,10,54,7,6,14
774,10,55,5,4,5
775,10,56,10,6,20
776,10,57,4,6,8
777,10,58,3,4,3
778,10,59,3,2,0
779,10,60,3,4,1
780,10,61,0,4,0
781,10,62,9,4,9
782,10,63,5,2,1
783,10,64,10,2,5
784,10,65,1,4,0
785,10,66,5,6,5
786,10,67,2,4,0
787,10,68,9,4,9
788,10,69,8,4,8
789,10,70,6,4,6
790,10,71,2,2,0
791,10,72,6,4,6
792,10,73,3,2,0
793,10,74,6,6,6
794,10,75,7,2,0
795,10,76,3,4,3
796,10,77,5,4,5
797,10,78,9,6,9
798,10,79,5,6,5
799,10,80,3,4,3
800,11,1,7,6,11
801,11,2,5,4,3
802,11,3,3,6,4
803,11,4,6,4,4
804,11,5,4,2,0
805,11,6,5,4,3
806,11,7,2,2,0
807,11,8,3,6,4
808,11,9,2,4,1
809,11,10,1,4,1
810,11,11,7,2,3
811,11,12,2,4,3
812,11,13,6,4,7
813,11,14,3,4,2
814,11,15,3,2,0
815,11,16,0,4,0
816,11,17,6,6,9
817,11,18,5,2,2
818,11,19,5,4,3
819,11,20,5,6,7
820,11,21,9,4,5
821,11,22,7,4,4
822,11,23,2,2,0
823,11,24,0,2,0
824,11,25,6,2,1
825,11,26,5,6,6
826,11,27,10,6,8
827,11,28,3,4,0
828,11,29,9,2,1
829,11,30,5,4,2
830,11,31,2,4,1
831,11,32,6,2,1
832,11,33,4,6,6
833,11,34,2,4,2
834,11,35,7,4,7
835,11,36,6,4,10
836,11,37,10,4,11
837,11,38,6,4,3
838,11,39,0,4,0
839,11,40,5,6,6
840,11,41,5,2,0
841,11,42,4,6,7
842,11,43,4,4,5
843,11,44,5,2,2
844,11,45,4,2,1
845,11,46,5,4,7
846,11,47,4,4,6
847,11,48,0,6,0
848,11,49,5,2,1
849,11,50,9,4,2
850,11,51,3,4,1
851,11,52,4,6,8
852,11,53,5,4,6
853,11,54,8,4,6
854,11,55,1,6,2
855,11,56,4,4,4
856,11,57,8,4,10
857,11,58,10,2,3
858,11,59,3,2,0
859,11,60,8,4,4
860,11,61,5,4,6
861,11,62,5,6,7
862,11,63,10,2,3
863,11,64,8,6,9
864,11,65,9,4,6
865,11,66,6,2,3
866,11,67,3,4,3
867,11,68,1,2,0
868,11,69,5,4,6
869,11,70,8,2,2
870,11,71,4,4,1
871,11,72,1,4,1
872,11,73,9,6,12
873,11,74,10,6,15
874,11,75,10,4,11
875,11,76,2,6,2
876,11,77,10,4,11
877,11,78,10,4,11
878,11,79,6,6,6
879,11,80,10,6,13
880,12,1,4,4,5
881,12,2,5,4,7
882,12,3,5,6,10
883,12,4,2,4,0
884,12,5,5,2,2
885,12,6,5,4,7
886,12,7,1,4,0
887,12,8,5,2,2
888,12,9,10,4,20
889,12,10,6,4,9
890,12,11,7,4,12
891,12,12,7,4,13
892,12,13,4,4,5
893,12,14,9,4,17
894,12,15,5,4,7
895,12,16,4,6,12
896,12,17,9,2,7
897,12,18,4,2,1
898,12,19,0,2,0
899,12,20,2,4,0
900,12,21,2,2,1
901,12,22,3,2,0
902,12,23,10,4,19
903,12,24,10,2,10
904,12,25,9,4,12
905,12,26,2,2,0
906,12,27,10,4,19
907,12,28,6,6,12
908,12,29,3,2,0
909,12,30,9,4,16
910,12,31,4,6,7
911,12,32,5,4,7
912,12,33,6,2,4
913,12,34,10,6,20
914,12,35,3,4,2
915,12,36,6,6,12
916,12,37,4,6,7
917,12,38,6,2,3
918,12,39,0,4,0
919,12,40,5,4,7
920,12,41,5,6,10
921,12,42,6,4,8
922,12,43,5,4,7
923,12,44,6,4,9
924,12,45,8,4,14
925,12,46,6,2,4
926,12,47,0,6,0
927,12,48,10,6,20
928,12,49,3,4,2
929,12,50,1,6,0
930,12,51,4,4,4
931,12,52,10,6,20
932,12,53,1,2,0
933,12,54,5,4,7
934,12,55,1,4,0
935,12,56,8,2,7
936,12,57,10,4,19
937,12,58,5,2,2
938,12,59,8,4,14
939,12,60,6,4,9
940,12,61,3,6,6
941,12,62,7,6,11
942,12,63,5,4,7
943,12,64,4,2,1
944,12,65,3,6,6
945,12,66,5,6,10
946,12,67,8,4,14
947,12,68,5,2,2
948,12,69,2,4,0
949,12,70,9,6,17
950,12,71,3,4,2
951,12,72,2,6,1
952,12,73,5,6,10
953,12,74,8,6,16
954,12,75,7,2,6
955,12,76,2,4,0
956,12,77,3,4,2
957,12,78,0,4,0
958,12,79,4,4,4
959,12,80,10,2,10
960,13,1,3,4,2
961,13,2,8,6,16
962,13,3,6,2,3
963,13,4,2,4,1
964,13,5,3,4,3
965,13,6,3,2,1
966,13,7,2,2,1
967,13,8,2,4,0
968,13,9,2,6,3
969,13,10,7,2,6
970,13,11,0,4,0
971,13,12,5,4,8
972,13,13,4,4,5
973,13,14,5,4,7
974,13,15,6,2,5
975,13,16,10,6,30
976,13,17,3,6,8
977,13,18,10,4,20
978,13,19,8,4,14
979,13,20,4,6,8
980,13,21,5,6,10
981,13,22,9,4,15
982,13,23,2,2,0
983,13,24,10,2,12
984,13,25,1,4,0
985,13,26,6,6,10
986,13,27,8,4,13
987,13,28,9,4,16
988,13,29,5,2,5
989,13,30,5,4,7
990,13,31,3,6,4
991,13,32,6,6,10
992,13,33,5,2,5
993,13,34,5,6,10
994,13,35,5,2,5
995,13,36,4,6,8
996,13,37,9,2,10
997,13,38,6,4,10
998,13,39,4,4,6
999,13,40,6,2,6
1000,13,41,2,4,1
1001,13,42,4,6,10
1002,13,43,5,4,7
1003,13,44,10,4,20
1004,13,45,2,4,1
1005,13,46,3,4,4
1006,13,47,5,4,7
1007,13,48,3,2,1
1008,13,49,4,2,3
1009,13,50,0,2,0
1010,13,51,3,4,2
1011,13,52,8,2,9
1012,13,53,9,6,20
1013,13,54,1,2,0
1014,13,55,8,4,14
1015,13,56,7,4,11
1016,13,57,5,4,8
1017,13,58,7,4,12
1018,13,59,6,4,10
1019,13,60,4,4,7
1020,13,61,5,2,3
1021,13,62,5,6,9
1022,13,63,6,4,10
1023,13,64,10,2,12
1024,13,65,5,4,8
1025,13,66,10,4,20
1026,13,67,7,6,16
1027,13,68,9,4,17
1028,13,69,10,6,25
1029,13,70,10,6,25
1030,13,71,1,4,0
1031,13,72,6,4,10
1032,13,73,5,6,10
1033,13,74,10,4,20
1034,13,75,0,6,0
1035,13,76,1,6,0
1036,13,77,4,2,4
1037,13,78,5,4,6
1038,13,79,4,4,5
1039,13,80,0,4,0
1040,14,1,5,2,2
1041,14,2,6,4,5
1042,14,3,5,6,10
1043,14,4,6,2,4
1044,14,5,4,4,4
1045,14,6,3,2,0
1046,14,7,8,6,16
1047,14,8,6,2,2
1048,14,9,3,4,1
1049,14,10,8,4,16
1050,14,11,6,2,4
1051,14,12,6,6,14
1052,14,13,8,4,14
1053,14,14,0,4,0
1054,14,15,1,4,0
1055,14,16,6,6,9
1056,14,17,9,4,17
1057,14,18,5,4,7
1058,14,19,9,6,25
1059,14,20,5,6,7
1060,14,21,10,4,20
1061,14,22,5,2,1
1062,14,23,7,6,12
1063,14,24,5,4,5
1064,14,25,10,6,25
1065,14,26,0,4,0
1066,14,27,2,4,0
1067,14,28,2,4,0
1068,14,29,5,4,7
1069,14,30,5,2,2
1070,14,31,4,6,7
1071,14,32,8,4,13
1072,14,33,5,4,7
1073,14,34,3,2,0
1074,14,35,6,4,8
1075,14,36,4,6,6
1076,14,37,5,4,6
1077,14,38,3,4,3
1078,14,39,8,2,1
1079,14,40,3,4,2
1080,14,41,10,4,19
1081,14,42,0,2,0
1082,14,43,2,2,0
1083,14,44,4,4,5
1084,14,45,4,6,7
1085,14,46,10,2,10
1086,14,47,5,4,6
1087,14,48,7,4,12
1088,14,49,9,4,19
1089,14,50,5,6,11
1090,14,51,7,2,5
1091,14,52,4,2,0
1092,14,53,4,4,6
1093,14,54,3,6,3
1094,14,55,5,4,7
1095,14,56,10,6,25
1096,14,57,10,4,20
1097,14,58,5,6,10
1098,14,59,2,4,0
1099,14,60,9,4,17
1100,14,61,10,6,25
1101,14,62,0,6,0
1102,14,63,7,4,12
1103,14,64,1,6,0
1104,14,65,1,4,0
1105,14,66,9,2,6
1106,14,67,2,6,0
1107,14,68,1,2,0
1108,14,69,4,4,4
1109,14,70,10,4,19
1110,14,71,4,2,1
1111,14,72,5,4,5
1112,14,73,6,4,10
1113,14,74,6,4,10
1114,14,75,5,2,2
1115,14,76,3,4,2
1116,14,77,2,4,0
1117,14,78,2,2,0
1118,14,79,10,2,10
1119,14,80,3,6,3
1120,15,1,0,4,0
1121,15,2,3,4,4
1122,15,3,7,4,13
1123,15,4,9,4,19
1124,15,5,0,2,0
1125,15,6,1,4,1
1126,15,7,4,6,10
1127,15,8,8,4,14
1128,15,9,6,2,3
1129,15,10,5,4,7
1130,15,11,1,2,0
1131,15,12,2,4,2
1132,15,13,0,6,0
1133,15,14,6,6,11
1134,15,15,9,2,9
1135,15,16,6,4,9
1136,15,17,7,4,13
1137,15,18,3,6,4
1138,15,19,4,2,2
1139,15,20,10,6,21
1140,15,21,5,2,3
1141,15,22,6,4,9
1142,15,23,9,4,17
1143,15,24,10,4,20
1144,15,25,4,4,6
1145,15,26,2,4,1
1146,15,27,5,4,7
1147,15,28,5,4,7
